Company Name,Employees,HQ Location,Ownership Status,Description,Verticals,Primary Industry Sector,Primary Industry Group,Last Financing Date,Last Financing Deal Type,Last Financing Deal Type 2,Last Financing Size,Last Financing Valuation,Total Raised,# Active Investors,Active Investors,Website
Lattice (Performance Management),60,"San Francisco, CA",Privately Held (backing),"Developer of an employee performance management platform designed to streamline the performance management processes of companies. The company's employee performance management platform provides real-time feedback of employees throughout the year and helps companies to run performance review cycles with ease, enabling medium-sized companies to manage and measure the goals that are to be achieved by the employees.",TMT,Information Technology,Software,26-Apr-19,Early Stage VC,Series B,15,85,24.35,17,"Advisors.Fund, Alexis Ohanian, Daniel Gross, Elad Gil, FUEL Capital, Jake Gibson, Kevin Mahaffey, Khosla Ventures, Marc Benioff, Sam Altman, Shasta Ventures, Slack, Soma Capital, SV Angel, Thrive Capital, Upshift Capital, Y Combinator",www.lattice.com
Slice Labs,60,"New York, NY",Privately Held (backing),"Provider of an on-demand, cloud based, insurance platform created to change the insurance experience. The company's pay-per-use insurance platform allows users to purchase instant car and rental insurance coverage from their smartphone or laptop, enabling insurers, technology companies, and other service providers to build intelligent and intuitive, pay-as-you-go digital insurance products protecting the insured anytime and anywhere.","FinTech, InsurTech, SaaS, TMT",Financial Services,Insurance,26-Sep-18,Early Stage VC,Series A,31.6,,35.5,8,"Horizons Ventures, JetBlue Technology Ventures, Munich Re/HSB Ventures, Plug and Play Tech Center, Sompo Japan Nipponkoa Insurance, The Co-operators, Veronorte, XL Innovate",www.slice.is
Owkin,60,"New York, NY",Privately Held (backing),"Developer of machine learning tools designed to augment medical and biological research. The company's tool integrates biomedical images, genomics and clinical data in order to discover mechanisms and biomarkers associated with diseases and treatment outcomes and build models that are as interpretable as possible, for a deeper understanding of the initial data and through transfer learning, they push the intelligence of pre-trained algorithms into new models, enabling cohorts to have a better predictive power.","Artificial Intelligence & Machine Learning, Digital Health, Life Sciences, Oncology, TMT",Healthcare,Pharmaceuticals and Biotechnology,7-Mar-19,Early Stage VC,Series A2,13,108,31.1,12,"Brent Hoberman, Cathay Innovation, Eight Roads, F-Prime Capital Partners, Google Developers Launchpad, GV, Jean-Paul Clozel, Jorg Mohaupt, NJF Capital, Otium Venture (France), Plug and Play Tech Center, Third Kind Venture Capital",www.owkin.com
Level EX,60,"Chicago, IL",Privately Held (backing),"Developer of a AR and VR medical games designed for physicians. The company uses state-of-the-art video game technology and cognitive neuroscience to capture the challenges of practicing medicine, allowing physicians to keep up-to-speed on rare and challenging cases, new medical devices and drug therapies.","Augmented Reality, Mobile, TMT, Virtual Reality",Healthcare,Healthcare Technology Systems,22-Mar-19,Early Stage VC,,4,,15.15,9,"4490 Ventures, Adam Koopersmith, JAZZ Venture Partners, Matter, OSF Ventures, Pritzker Group Venture Capital, Service Provider Capital, Steven Collens, Three Lakes Partners",www.level-ex.com
NS8,60,"Las Vegas, NV",Privately Held (backing),"Provider of an abuse, fraud and user experience protection platform designed to offer real-time monitoring for online businesses. The company's platform uses behavioral analytics and real-time scoring to optimize and protect against threats, enabling enterprises to create a secure and trusted environment for their customers.","Artificial Intelligence & Machine Learning, Big Data, Cybersecurity, SaaS, TMT",Information Technology,Software,18-Mar-19,Early Stage VC,Series B,26,,33.55,21,"Arbor Ventures, Bloomberg Beta, Blu Venture Investors, Craig Brooks, Edison Partners, Hanna Ventures, Hillcrest Venture Partners, Inner Loop Capital, Jeffrey Nuechterlein, Justin Label, Kathryn Stewart, Lytical Ventures, MACH37, MCVC Partners, Michael Wellman, NextGen Venture Partners, Ray Rothrock, Renny McPherson, Sorenson Ventures, Steve Mooney, TDF Ventures",www.ns8.com
PathAI,60,"Boston, MA",Privately Held (backing),"Developer of an AI-powered research platform intended to improve the accuracy and efficiency of cancer diagnosis and treatment. The company's platform applies machine and deep learning techniques to massive aggregated sets in order to detect cancerous cells separately, enabling pathologists to diagnose cancer patients rapidly and accurately.","Artificial Intelligence & Machine Learning, Oncology, TMT",Healthcare,Healthcare Technology Systems,17-Apr-19,Early Stage VC,Series B,60,375,75,8,"8VC, Digital Horizon Capital, General Atlantic, General Catalyst, KdT Ventures, Pillar Companies, Refactor Capital, Waikit Lau",www.pathai.com
Juniper Square,60,"San Francisco, CA",Privately Held (backing),"Developer of an investment management software intended to transform the real estate investment experience. The company's software saves time and money on back-office accounting activities, as well as reduces errors and eliminates data silos, enabling clients to improve productivity and avail enhanced digital investment experience.","FinTech, Real Estate Technology, SaaS, TMT",Information Technology,Software,12-Dec-18,Early Stage VC,Series B,25,168,32.94,5,"CSC UpShot Ventures, Felicis Ventures, Precursor Ventures, Ribbit Capital, Zigg Capital",www.junipersquare.com
Verbit,60,"New York, NY",Privately Held (backing),"Provider of a transcription and captioning platform intended to generate detailed speech-to-text files. The company's platform leverages artificial and human intelligence to provide smart transcription and captioning services, built on adaptive algorithms, as well as the technology generates detailed speech-to-text files to provide over 99% accuracy, delivered at speed, enabling customers to maximize the potential of their audio and video files by making information searchable, accessible and actionable.","Artificial Intelligence & Machine Learning, SaaS, TMT",Information Technology,Software,30-Jan-19,Early Stage VC,Series A,23,65,34,13,"Atooro Fund, Bouaziz and Partners, ClalTech, Horizon 2020, HV Holtzbrinck Ventures, Microsoft ScaleUp, Omega Venture Partners, Oracle, Oryzn Capital, Sarona Ventures, Vertex Ventures Israel, Vintage Investment Partners, Viola Ventures",www.verbit.ai
Visor (Tax Advisor),60,"San Francisco, CA",Privately Held (backing),"Developer of tax advising application designed to make tax calculating and paying a better experience. The company's application is available on a year-round basis, has transparent pricing, intuitive design, security for the stored data and intelligent algorithms, enabling taxpayers to optimizes their assets and incomes and to simplify their finance.","FinTech, TMT",Information Technology,Software,16-Nov-18,Early Stage VC,Series A,9,,15.5,11,"BoxGroup, Defy, Fika Ventures, Kindred Ventures, Lux Capital, Maveron, Niklas Zennström, Obvious Ventures, Social Capital, SVB Financial Group, Unusual Ventures",www.visor.com
Primer (Database Software),60,"San Francisco, CA",Privately Held (backing),"Developer of a machine intelligence platform designed to automate the analysis of large datasets. The company's platform uses machine learning and natural language processing to build systems that read documents, discover insights and automatically generate reports comparable to those of a human analyst, enabling organizations to close the intelligence gap and accelerate world trend.","Artificial Intelligence & Machine Learning, Big Data, TMT",Information Technology,Software,15-Nov-18,Early Stage VC,Series B,40,172,54.5,10,"AME Cloud Ventures, Amplify Partners, Avalon Ventures, Bloomberg Beta, Crosslink Capital, Data Collective, In-Q-Tel, Lux Capital, Mubadala Investment Company, Section 32",www.primer.ai
Hims,60,"San Francisco, CA",Privately Held (backing),"Provider of an online platform intended to offer for sale wellness products for men. The company's platform offers sexual wellness products, skin care and hair loss treatments to address problems like baldness, erectile dysfunction, skincare, nutrition and others that usually need a doctor's prescription to treat, despite being highly common, enabling men to find a cure for all of their day to day problems.","Beauty, E-Commerce",Consumer Products and Services (B2C),Consumer Non-Durables,28-Jan-19,Later Stage VC,Series C,100,"1,100.00",197,18,"7 Global Capital, 8VC, Align Ventures, Amity Supply, Atomic Labs, CAVU Venture Partners, Cherubic Ventures, Forerunner Ventures, Founders Fund, Harry's, IVP, M/C Partners, Maverick Capital, Maverick Ventures, Redpoint Ventures, SV Angel, Thrive Capital, UpHonest Capital",www.forhims.com
CrossBorder Solutions (Financial Software),60,"Tarrytown, NY",Privately Held (backing),"Provider of corporate tax software and services intended to help multinational corporations in complying with worldwide transfer pricing regulation. The company's services help in the production of documentation that insulates companies from costly penalties, enabling clients to receive corporate tax-related assistance from them and manage the tax position of each of their legal entities.",TMT,Information Technology,Software,14-Nov-17,Early Stage VC,Series A,6,20,6,1,Kennet Partners,www.crossborder.ai
The Minte,60,"Chicago, IL",Privately Held (backing),"Provider of hotel-style cleaning and related services intended to quick and efficient tidy cleaning work. The company's services include sweeping and spoting clean floors, wiping of countertops and loading of dishwasher, decluttering and sprucing up of all rooms, bathroom refreshing and other deep cleaning services, enabling residents in multi-family apartment buildings to keep their home professionally clean like hotel rooms.",,Consumer Products and Services (B2C),Services (Non-Financial),2-Nov-18,Early Stage VC,Series A,4.49,8.99,4.49,10,"Blue Note Ventures, Dundee Venture Capital, Elmspring Accelerator, Firebrand Ventures, M25, Math Venture Partners, Network Ventures, Revolution, Sandalphon Capital, Stout Street Capital",www.theminte.com
InSilico Medicine,57,"Rockville, MD",Privately Held (backing),"Developer of a comprehensive drug discovery engine designed to extend healthy longevity. The company's engine utilizes innovative AI solutions for drug discovery and aging research as well as deep learning technology for drug re-purposing for aging and age-related diseases, allowing for the identification of molecules that may be effective against a variety of cancers as well as metabolic, cardiovascular and central nervous system diseases.","Artificial Intelligence & Machine Learning, HealthTech, TMT",Healthcare,Pharmaceuticals and Biotechnology,18-Jun-18,Early Stage VC,Series A3,6,56,24.3,11,"A-Level Capital, BMH Capital, Bold Capital Partners, Deep Knowledge Ventures, James Mellon, Juvenescence, Mann Bioinvest, Pavilion Capital, SoGal Ventures, Thynk Capital, WuXi AppTec",www.insilico.com
LeadCrunch,57,"San Diego, CA",Privately Held (backing),"Developer of an intelligent demand generation platform intended to accelerate sales with high precision analytics and content delivery. The company's platform collects vast amount of data and uses artificial intelligence to find insights, enabling businesses to engage their customers easily.","Artificial Intelligence & Machine Learning, Big Data, Marketing Tech, SaaS, TMT",Information Technology,Software,,Early Stage VC,,3.5,,17.44,25,"Acceleprise, Bialla Venture Partners, Bow Capital, Christophe Fraise, CONNECT (Accelerator), David Hehman, Eric Di Benedetto, Eric Schwartz, EvoNexus, ExCapsa Group, Green Egg Ventures, Howard Love, Krishna Gopinathan, Larry Rosenberger, Olin Hyde, Rally Ventures, Right Side Capital Management, Russ Holdstein, Sand Hill Angels, StartR, Steve Biafore, Supernode Ventures, Thomas Peterson, Todd Thorner, Zeyad Moussa",www.leadcrunch.com
Allset,57,"San Francisco, CA",Privately Held (backing),"Provider of a food-ordering and table booking platform intended to improve the restaurant dining experience. The company's platform enables customers to book, order and pay for their lunch at local restaurants before arrival, enabling them to dine seamlessly and dine wait-free.","Mobile, Mobile Commerce, Restaurant Technology, TMT",Information Technology,Software,,Early Stage VC,Series B,9,,17.85,9,"Alexandr Chernyak, Andreessen Horowitz, Compound, FJ Labs, Greycroft, Imperious Group, Life.SREDA VC, Rainfall Ventures, SMRK VC Fund",www.allsetnow.com
Ghost Locomotion,57,"Mountain View, CA",Privately Held (backing),"Developer of an automated driving device intended to provide installation of self-driving functionality to any car. The company offers a set of cameras and a computer that connects to the car's gas, brake and steering controls and sees the road exactly like a human using 360 degrees HD vision and interprets the key features in the environment to make driving decisions, allowing car owners to work, relax or even sleep as their car drives itself.","Artificial Intelligence & Machine Learning, Autonomous cars, TMT",Consumer Products and Services (B2C),Transportation,8-May-19,Later Stage VC,Series C,32,212,63.72,5,"Founders Fund, Keith Rabois, Khosla Ventures, Michael Speiser, Sutter Hill Ventures",www.gh.st
GearLaunch,56,"San Francisco, CA",Privately Held (backing),"Provider of an end to end e-commerce platform designed to scale online businesses. The company's e-commerce platform offers a complete infrastructure, which includes business operations services, access to an extensive catalog of customizable products, logistics, customer support, search and discovery resources and website building tools, enabling independent online merchants to grow independently of the shopping malls of the web and scale their businesses without hiring teams or sinking money into inventory.","E-Commerce, TMT",Information Technology,Software,26-Jul-17,Early Stage VC,Series A,4.8,32,4.8,4,"GrowthX, Hunt Technology Ventures, MassChallenge, Matt Wisley",www.gearlaunch.com
Pickup (Logistics),56,"Addison, TX",Privately Held (backing),"Developer of a delivery mobile application designed to provide a convenient way to move packages to desired places. The company's application offers a network of on-demand professional and verified movers that help retailers to transform the delivery experience, enabling users to move packages on a short notice and improve sales conversion, basket size and customer delight.",Mobile,Business Products and Services (B2B),Commercial Services,14-Nov-18,Early Stage VC,Series A1,8.5,28.5,13.72,15,"Addison TreeHouse, BlueTree Allied Angels, Engage Ventures, Florida Funders, Green Park & Golf Ventures, Houston Association of Realtors, MC Capital, Miami Angels, Noro-Moseley Partners, Perot Jain, START Houston, TDF Ventures, Tech Square Venture Partners, Venn Ventures, Wetzer Capital",www.pickupnow.com
Avaamo,55,"Los Altos, CA",Privately Held (backing),"Developer of an enterprise virtual assistant platform designed to reinvent the way people communicate, transact and get work done. The company's platform combines artificial intelligence, machine learning, conversation design and integration to legacy enterprise workflows, enabling enterprises to simplify the time needed to design and deploy enterprise bots or virtual assistants to employees and customers.","Artificial Intelligence & Machine Learning, Big Data, SaaS, TMT",Information Technology,Software,8-May-18,Early Stage VC,Series A,14.2,59.2,28.1,20,"11.2 Capital, Atiq Raza, Beenos Partners, BluePointe Ventures, Eric Chen, Ericsson Ventures, Hironori Maeda, Intel Capital, Jay Sethuram, Mahindra Partners, Monta Vista Capital, OVO Fund, Raj Sandhu, Raj Singh, Rajeev Madhavan, Rembrandt Venture Partners, Streamlined Ventures, UJ Ventures, WI Harper Group, Wipro Ventures",www.avaamo.ai
Happy Returns,55,"Los Angeles, CA",Privately Held (backing),"Provider of return and logistics solutions intended to provide a frictionless returns experience for e-commerce shoppers. The company's network provides a seamless, integrated system of technology, service and logistics that give shoppers the fast and simple in-person returns experience they want and online retailers the low-cost and efficient service they require, enabling retailers to provide an in-person return experience","E-Commerce, Industrials, TMT",Business Products and Services (B2B),Commercial Services,25-Apr-19,Early Stage VC,Series B1,11,66,24.99,16,"Andy Solomon, Brian Spaly, Brilliant Ventures, Dennis Phelps, Greg Fant, Jason Lehmbeck, Kara Weber, Lowercase Capital, Maveron, PayPal Holdings, R/GA, Rob Chesney, Robert Stevens, Upfront Ventures, US Venture Partners, Westfield Labs",www.happyreturns.com
NomNomNow,55,"Oakland, CA",Privately Held (backing),"Provider of subscription-based custom made dog food delivery service intended to bring nutritious food to dogs. The company delivers personalized pet meals cooked with no artificial preservatives or fillers and with portions optimized to provide dogs with the ideal balance for their weight, age, activity level, breed and health issues. enabling pet owners to help their dogs to eat well so that they can live longer and happier lives.","FoodTech, Pet Technology, TMT",Consumer Products and Services (B2C),Consumer Non-Durables,10-May-18,Early Stage VC,Series A,10,40,13,7,"Bullish, CircleUp Network, e.ventures, Greycroft, Kima Ventures, Stephen Chamberlin, Tandem Capital",www.nomnomnow.com
Scoutible,55,"San Francisco, CA",Privately Held (backing),"Operator of an online game-based hiring platform intended to pinpoint perfect-fit candidates for jobs. The company's online game-based hiring platform develops mobile games using immersive mobile games and sophisticated machine learning to measures a person's unique cognitive and personality traits through game play, enabling employers identify talent and match candidates for the available jobs.","Artificial Intelligence & Machine Learning, Big Data, Industrials, SaaS, TMT",Business Products and Services (B2B),Commercial Services,25-Oct-17,Seed Round,Seed Round,5,21.2,6.5,10,"Akshay Kothari, Great Oaks Venture Capital, G-Startup Worldwide, Iqram Magdon-Ismail, Learn Capital, Mark Cuban, Mindset Ventures, New Enterprise Associates, Plug and Play Tech Center, StartX",www.scoutible.com
ClimaCell,55,"Boston, MA",Privately Held (backing),"Developer of a hyper-local weather forecasting platform intended to improve weather forecasting with new microweather information. The company's platform utilizes wireless signals, connected vehicles, satellite-to-ground microwave signals, street cameras and other technologies along with traditional meteorological data sources to provide accurate, real-time, location-specific and on-demand weather forecasts, enabling businesses to get real-time weather information in a hassle-free manner.","CleanTech, Internet of Things, SaaS, TMT",Business Products and Services (B2B),Commercial Services,10-Apr-19,Early Stage VC,Series B1,7,217,70.23,18,"Canaan Partners, Clearvision Ventures, Evergy Ventures, Fontinalis Partners, Ford Smart Mobility, Harvard i-lab, Intact Ventures, JetBlue Technology Ventures, MassChallenge, National Grid, National Grid Partners, PLUS Ventures, Project 11 Ventures, Ratan Tata, Sapir Venture Partners, SBG Cleantech, Square Peg Capital, The Graduate Syndicate",www.climacell.co
Shyft,55,"San Francisco, CA",Privately Held (backing),"Operator of a technology and logistics company designed to transform the corporate relocation and moving industry. The company's platform provides a seamless and stress free experience for transferring employees that includes a network over 300+ reliable moving companies to choose from and comes with a patented virtual estimation technology + human move coach, enabling employees to easily find high quality movers.","Mobile, SaaS, TMT",Business Products and Services (B2B),Commercial Services,2-Apr-19,Early Stage VC,,1.04,25,4.42,15,"Band of Angels, Belle Capital, Berkeley Angel Network, Boise Angel Alliance, Frontier Ventures, HBS Alumni Angels New York, Keiretsu Capital, Keiretsu Forum, Moderne Ventures, NFX, North Bay Angels, Ocean Azul Partners, Sacramento Angels, SmartHub boutique, Tech Coast Angels",www.shyftmoving.com
Pivot (Digital Health Company),54,"Redwood City, CA",Privately Held (backing),"Developer of a digital health and wearable technology intended to engage and empower millions of people to quit smoking. The company's wearable technology offers a mobile breath sensor, personalized mobile as well as a web dashboard and expert recommended strategies, enabling people to quit smoking.","Digital Health, Mobile, TMT, Wearables & Quantified Self",Healthcare,Healthcare Technology Systems,29-Oct-18,Early Stage VC,Series B,25,100,42.35,5,"Johnson & Johnson Innovation - JJDC, Khosla Ventures, Marc Benioff, New York Life Ventures, R7 Partners",www.pivot.co
StackRox,52,"Mountain View, CA",Privately Held (backing),"Developer of an adaptive threat protection platform designed to replace patchwork of point solutions. The company's platform combines a scalable security architecture with deep instrumentation and machine learning to protect containerized and cloud-native applications from evolving threats such as code injection, privilege escalation, malicious lateral movement and data ex-filtration, providing customers with threat prevention, attack detection, and quick responses.","Artificial Intelligence & Machine Learning, Big Data, Cybersecurity",Information Technology,Software,5-Sep-18,Early Stage VC,,,,39,8,"Alex Stamos, Amplify Partners, In-Q-Tel, John Stewart, Mark Leslie, Redpoint Ventures, Richard Clarke, Sequoia Capital",www.stackrox.com
TouchJet,51,"Campbell, CA",Privately Held (backing),"Developer of touchscreen smart projector and televisions designed to make that inspire people to work together, learn together and play together. The company's touchscreen smart projector can be projected onto any flat surface, with interactive stylus and remote gesture control and televisions has the options to download all Android applications, enabling customers to collaborate across devices wirelessly.",,Consumer Products and Services (B2C),Consumer Durables,24-Sep-18,Early Stage VC,Series A2,,,2.28,9,"Enchant, Interactive Digital Media Strategic Research Programme, Keiretsu Capital, Keiretsu Forum, ReadWrite Labs, Ruvento Ventures, TNB Ventures, TNF Ventures, Yunqi Partners",shop.touchjet.com
Eden (Office Management Platform),51,"San Francisco, CA",Privately Held (backing),"Provider of an office management services platform intended to create a better place to work, for everyone. The company's online platform that helps in addressing and solving any technology-related issue such as office cleaning, supply stocking, IT support, handyman services and taskers, enabling organization to get full-stack solution for office management.","SaaS, TMT",Information Technology,Software,10-Jul-17,Early Stage VC,Series A,13.31,33.21,16.73,26,"Bessemer Venture Partners, Canvas Ventures, Comcast Ventures, Eniac Ventures, Fifth Wall Ventures, Fort Ventures, FundersClub, Index Ventures (UK), James Beshara, Kensington Capital Holdings, Kindling Capital, Liquid 2 Ventures, Maven Ventures, Paul Holliman, Plug and Play Tech Center, Redpoint Ventures, S28 Capital, Slow Ventures, Social Starts, Stanford Management Company, StartX, SV Angel, TriplePoint Capital, Upshift Capital, Wefunder, Y Combinator",www.eden.io
PlumSlice Labs,51,"Miami, FL",Privately Held (backing),"Developer of cloud based web and mobile applications designed to help retailers manage and sell their products. The company's cloud based web and mobile applications leverages the latest developments in cloud collaboration, big data and mobile business technology to make workflow and collaboration easy at all stages of product management including product research and conceptualization, product development and selection as well as product information and digital asset management, by uniting all the players in product management, enabling retailers manage and sell their products more economically, creatively and efficiently.","Big Data, SaaS, TMT",Information Technology,Software,31-Oct-17,Early Stage VC,Series A2,3,15,5.02,1,Kinetic Ventures,www.plumslice.com
Waggl,50,"Sausalito, CA",Privately Held (backing),"Provider of a real-time employee engagement platform intended to offer easy feedback powered by employee voice. The company's platform provides decision makers with a fast, focused and engaging way to enable enterprise communication and crowdsourcing, enabling clients to deliver actionable insights to leaders, ensure that employee voices are heard and encourage employee engagement.","SaaS, TMT",Information Technology,Software,24-May-18,Early Stage VC,Series A,7,22,9.63,8,"First Analysis, Fort Hill Company, FundersClub, Hemisphere Ventures, Interlock Partners, Joseph Abrams, Labora, Rob Bernshteyn",www.waggl.com
Welkin Health,50,"San Francisco, CA",Privately Held (backing),"Developer of a platform designed to provide patient relationship management solutions. The company's platform configures patient experiences into workflows that keep patients and teams on track, enabling medical device companies, payers, providers and disease management service providers to work effectively and improve health outcomes.","Digital Health, HealthTech, TMT",Healthcare,Healthcare Technology Systems,29-May-19,Later Stage VC,Series B,17.5,67.5,30,12,"Altos Ventures, Asset Management Ventures, Great Oaks VC, Great Oaks Venture Capital, iKang Healthcare, iSeed Ventures, James Kolotouros, Mayo Clinic Ventures, Nikhyl Singhal, Red Swan Ventures, Rock Health, Thrive Capital",www.welkinhealth.com
ArangoDB,50,"San Francisco, CA",Privately Held (backing),"Developer of a native multi-model database ArangoDB which is available as open-source (Apache 2) and enterprise edition. The company's database supports graph, document and key/value use cases with one engine and one query language which allows fast and efficient application development.",TMT,Information Technology,Software,14-Mar-19,Later Stage VC,Series A,10,,17.99,4,"Bow Capital, Machao Holding, Target Partners, triAGENS",www.arangodb.com
Maven,50,"New York, NY",Privately Held (backing),"Provider of a digital health platform created to help women to book video appointments with healthcare practitioners. The company's mobile application offers a platform for booking appointments through a network of nurse, gynecologist, mental health specialist, physical therapist and nutritionist, enabling women to avail a hassle free healthcare.","Digital Health, FemTech, HealthTech, Mobile",Information Technology,Software,26-Sep-18,Early Stage VC,Series B,27,87,44.77,23,"14W, 8VC, BoxGroup, Brent Hoberman, Chrysanthos Chrysanthou, Colle Capital Partners, Company (Office Space), DGNL Ventures, Eileen Burbidge, Female Founders Fund, Future\Perfect Ventures, Great Oaks Venture Capital, Individual Investor, Oak HC/FT, Quadia, Robert Dighero, Sax Capital, Sequoia Capital, SGH Capital, Sherry Coutu, Spring Mountain Capital, Thomas Lehrman, Venrex Investment Management",www.mavenclinic.com
AskNicely,50,"Portland, OR",Privately Held (backing),"Developer of a customer feedback platform designed to collect and act on real-time customer feedback. The company's customer feedback platform automatically collects customer feedback directly after a customer experience, integrates into a CRM to trigger feedback requests after specific events or timeframes and tracks Net Promoter Score by product, channel & rep, enabling businesses to drive retention, reviews, referrals and profit.","Marketing Tech, SaaS, TMT",Information Technology,Software,26-Apr-19,Early Stage VC,Series A,10,,17.16,7,"AngelHQ, Blackbird Ventures, Enterprise Angels, ICE Angels, K1W1, New Zealand Venture Investment Fund, Nexus Venture Partners",www.asknice.ly
Yellowbrick Data,50,"Palo Alto, CA",Privately Held (backing),"Developer and provider of data warehouse intended for business decision making. The company deploys analytics anywhere along with increased speed, scalability and standards to offer real-time feeds, interactive applications and periodic bulk loads, enabling companies to make faster decisions and improve analytical throughput and performance.",TMT,Information Technology,Software,14-May-19,Later Stage VC,Series C,81,540,214.52,5,"GV, Menlo Ventures, Next47, Samsung Venture Investment, Third Point Ventures",www.yellowbrick.com
Luma Health,50,"San Francisco, CA",Privately Held (backing),"Developer of a cloud-based platform designed to empower healthcare providers with HIPAA-compliant, mobile-first text and secure chat communication tools. The company's platform eliminates communication gaps, ensuring patients get to the care they need quickly, come back for follow-up care, and stay informed and engaged across their own unique healthcare journey, enabling users to have friction less patient-provider conversations.","HealthTech, Mobile, TMT",Information Technology,Software,22-May-18,Early Stage VC,Series A,9.69,22.69,9.69,11,"Azure Capital Partners, Correlation Ventures, InHealth Ventures, Michael Mullany, Pallasite Ventures, Ray Rothrock, Shorooq Investments, StartX, Temerity Capital Partners, TMC Innovation, US Venture Partners",www.lumahealth.io
New Knowledge (Social Media Threat Mitigation),50,"Austin, TX",Privately Held (backing),"Provider of a social media threat mitigation platform designed to protect brands from disinformation. The company's mitigation platform leverages machine learning and artificial intelligence to detect false social media propaganda, campaigns and news in real time, providing brands with protection from the damage caused by fake messaging and to help brands maintain their integrity.","Artificial Intelligence & Machine Learning, Big Data, Cybersecurity, SaaS",Information Technology,Software,29-Aug-18,Early Stage VC,Series A,11,51,15.09,9,"Capital Factory, Geekdom Fund, GGV Capital, Haystack, Lux Capital, Moonshots Capital, Right Side Capital Management, Spitfire Ventures, Techstars",www.newknowledge.com
Naked Labs,50,"Redwood City, CA",Privately Held (backing),"Developer of an at-home body scanning technology designed to offer 3D fitness trackers. The company's 3D body scanner motivates behavioral change by helping people to visualize their progress much faster and more accurately than what can be seen on a traditional weight scale or in a mirror, enabling people to make better decisions about their exercise, diet and well-being.","LOHAS & Wellness, Mobile, TMT, Wearables & Quantified Self",Healthcare,Healthcare Devices and Supplies,1-Aug-18,Early Stage VC,Series A,14,,16.38,16,"Ali Mortazavi, Carolyn Magsalay, Cyan Banister, Founders Fund, Hinge Capital, Innolinks Ventures, Lumia Capital, Monstro Ventures, New Enterprise Associates, Pacific 8 Ventures, Ruvento Ventures, Seabed VC, Shenzhen Valley Ventures, Sinai Ventures, Three Leaf Ventures, Victory Venture",www.nakedlabs.com
Cerebri AI,50,"Austin, TX",Privately Held (backing),"Developer of a customer success measuring platform designed to measure the value of every customer interaction. The company's platform quantifies each customer's commitment to a brand or product and dynamically predicts, enabling companies to focus on accelerating profitable growth easily.","Artificial Intelligence & Machine Learning, Big Data, SaaS, TMT",Information Technology,Software,1-Jan-19,Early Stage VC,Series B,,,9.5,9,"Canadian Technology Accelerator, Capital Factory, Hypergiant Ventures, Leawood Venture Capital, M12, MasterCard Start Path Accelerator, The University of Texas at Austin Endowment, UT Horizon Fund, WorldQuant Ventures",www.cerebriai.com
Chronicled,50,"San Francisco, CA",Privately Held (backing),"Developer of blockchain leveraging platform designed to help authenticate collectible sneakers. The company's platform uses smart tags, open registries and mobile application to document and guarantee product authenticity, ownership and provenance, enabling clients to have confidence in the origins and movements of high value products.","Artificial Intelligence & Machine Learning, Big Data, Cryptocurrency/Blockchain, Internet of Things, Mobile, TMT",Information Technology,Software,15-Jan-19,Early Stage VC,Series A,16,56,20.83,14,"Broadway Angels, Colbeck Capital Management, Emery Capital, Fenbushi Capital, Frank Fiore, Mandra Capital, Marshawn Lynch, Pantera Capital, Paul Veradittakit, Plug and Play Tech Center, Social Starts, Streamlined Ventures, The Perkins Fund, Vinny Lingham",www.chronicled.com
Zylotech,50,"Cambridge, MA",Privately Held (backing),"Developer of a customer analytics platform designed to provide faster and deeper functioning of omni-channel marketing operations. The company's artificial intelligence powered platform uses machine learning techniques to solve data quality issues and analyze non-obvious and uncertain behavior patterns continuously in real time, offering enterprises and businesses with superior data insights and recommended actions.","Artificial Intelligence & Machine Learning, Big Data, Marketing Tech, SaaS, TMT",Information Technology,IT Services,28-Sep-18,Seed Round,Seed Round,5.5,19,6.5,11,"Cricket Holdings, Geekdom Fund, Glasswing Ventures, Half Court Ventures, Josh Adler, Massachusetts Institute of Technology, Michael Fleishman, Mike Kail, Revel Partners, Rob May, Rubicon Venture Capital",www.zylotech.com
PROHBTD,50,"Culver City, CA",Privately Held (backing),"Provider of a cannabis brand creation and product development platform as well as an original content studio and expansive multi-platform intended to offer original video, information, stories and curated products and services for cannabis brands. Cannabis brands partner with the company for brand and product development, design, market strategy and branded integration within its original content.","Cannabis, LOHAS & Wellness, TMT",Information Technology,Software,1-Aug-18,Early Stage VC,Series A,9.2,,12.5,10,"2x4, Clarus Securities, Cresco Capital Partners, Delavaco Group, Donald Glover, Explorer Equity Group, Green Acre Capital, Mesh Ventures, Serruya Private Equity, Sol Global investments",www.prohbtd.com
Ursa Space Systems,50,"Ithaca, NY",Privately Held (backing),"Provider of geospatial data and analytics services created to gather data from radar satellites. The company specializes in delivering aerial and space-based data products as sources of alternative data for decision making. It delivers global economic insights to energy and financial enterprises, providing a reliable information source about areas of the world that are traditionally opaque.","Industrials, Infrastructure, Oil & Gas, Space Technology, TMT",Business Products and Services (B2B),Commercial Products,19-Jul-18,Early Stage VC,Series A1,5.7,25.7,15.05,7,"New Enterprise Associates, Paladin Capital Group, RevIthaca Startup Works, Rothenberg Ventures, RRE Ventures, S&P Global, Starburst Aerospace",www.ursaspace.com
